Designator,Mid X,Mid Y,Layer,Rotation
"C1",12.7500,6.0000,top,0.0000
"IC1",12.7500,10.0000,top,180.0000
"J1",6.5400,1.8400,top,180.0000
"R1",12.7500,3.5000,top,0.0000
