"Comment","Designator","Footprint","MPN","Manufacturer","LCSC Part #"
"100nF","C1","C_1206_3216Metric","","",""
"APS6404L-3SQR-SN","IC1","SOIC127P600X175-8N","","",""
"Conn_02x06_Odd_Even","J1","PinHeader_2x06_P2.54mm_Horizontal","","",""
"10K","R1","R_1206_3216Metric","","",""
