Designator,Mid X,Mid Y,Layer,Rotation
"C2",28.7500,10.5000,top,180.0000
"C3",28.7044,15.5000,top,180.0000
"J1",14.2500,1.2500,top,90.0000
"J2",57.7100,21.5400,top,0.0000
"J3",26.7500,1.2500,top,90.0000
"J4",5.3000,21.5000,top,0.0000
"J5",53.5000,5.0400,top,270.0000
"J6",5.3000,3.7200,top,0.0000
"J7",57.7100,3.7600,top,0.0000
"R1",28.7500,13.0000,top,0.0000
"R2",28.7500,19.0000,top,0.0000
"R3",28.7500,21.2500,top,0.0000
"U2",18.0000,15.7500,top,270.0000
