"Comment","Designator","Footprint","MPN","Manufacturer","LCSC Part #"
"100nF","C3","C_1206_3216Metric","","",""
"1uF","C2","C_1206_3216Metric","","",""
"22-23-2021","J6","PinSocket_2x01_P2.54mm_Horizontal","22-23-2021","",""
"22-23-2021","J7","PinHeader_2x01_P2.54mm_Horizontal","22-23-2021","",""
"90122-0126","J2","PinHeader_2x06_P2.54mm_Horizontal","90122-0126","",""
"90122-0126","J4","PinSocket_2x06_P2.54mm_Horizontal","90122-0126","",""
"AMPHENOL_132357-11","J1,J3","AMPHENOL_132357-11-MOD","AMPHENOL_132357-11","",""
"Conn_02x08_Odd_Even","J5","PinHeader_2x08_P2.54mm_Vertical","","",""
"10R","R1","R_1206_3216Metric","","",""
"10K","R2,R3","R_1206_3216Metric","","",""
"MAX14866UTM+T","U2","21-0144H_T4877-6_MXM","","",""
