Comment,Designator,Footprint,LCSC,Quantity
NPTH,KiKit_MB_16_4,NPTH,,1
NPTH,KiKit_MB_28_4,NPTH,,1
NPTH,KiKit_MB_20_3,NPTH,,1
NPTH,KiKit_MB_12_2,NPTH,,1
NPTH,KiKit_MB_8_1,NPTH,,1
NPTH,KiKit_MB_18_4,NPTH,,1
NPTH,KiKit_MB_18_2,NPTH,,1
NPTH,KiKit_MB_25_3,NPTH,,1
NPTH,KiKit_MB_28_2,NPTH,,1
NPTH,KiKit_MB_23_3,NPTH,,1
Fiducial,KiKit_FID_T_3,Fiducial,,1
NPTH,KiKit_MB_21_2,NPTH,,1
NPTH,KiKit_MB_23_4,NPTH,,1
Fiducial,KiKit_FID_B_1,Fiducial,,1
Fiducial,KiKit_FID_B_2,Fiducial,,1
Fiducial,KiKit_FID_B_3,Fiducial,,1
