"Comment","Designator","Footprint","MPN","Manufacturer","LCSC Part #"
"Conn_02x06_Odd_Even","J1","PinHeader_2x06_P2.54mm_Horizontal","","",""
"DE15_Receptacle_HighDensity_MountingHoles","J2","DSUB-15-HD_Female_Horizontal_P2.29x1.98mm_EdgePinOffset3.03mm_Housed_MountingHolesOffset4.94mm","","",""
"400","R1,R2,R3,R4,R5,R6","R_1206_3216Metric","","",""
