Designator,Mid X,Mid Y,Layer,Rotation
"J1",6.5400,1.8400,top,180.0000
"J2",27.0000,8.7900,top,180.0000
"R1",12.2500,14.5000,top,0.0000
"R2",12.2500,12.1700,top,0.0000
"R3",12.2500,9.9200,top,0.0000
"R4",12.2500,7.6700,top,0.0000
"R5",12.2500,5.4200,top,0.0000
"R6",12.2500,3.1700,top,0.0000
